suburb,local_board,region,attacks_suburb,attacks_board,attacks_region,known_suburb,known_board,known_region,rate_suburb,rate_board,rate_region
Penrose,Maungakiekie-Tāmaki Local Board Area,central,1,113,311,39,5484,25368,25.64102564102564,20.60539752005835,12.259539577420371
Pine Valley,Rodney Local Board Area,north,1,42,197,492,12635,43051,2.032520325203252,3.3240997229916895,4.575968037908527
Point Chevalier,Albert-Eden Local Board Area,central,16,71,311,777,6233,25368,20.592020592020592,11.390983475052142,12.259539577420371
Point England,Maungakiekie-Tāmaki Local Board Area,central,20,113,311,316,5484,25368,63.29113924050633,20.60539752005835,12.259539577420371
Ponsonby,Waitematā Local Board Area,central,4,34,311,636,4310,25368,6.289308176100629,7.888631090487239,12.259539577420371
Pukekohe,Franklin Local Board Area,south,28,67,599,4010,11978,33754,6.982543640897756,5.593588245116046,17.746044913195473
Punganui,Rodney Local Board Area,north,1,42,197,51,12635,43051,19.607843137254903,3.3240997229916895,4.575968037908527
Randwick Park,Manurewa Local Board Area,south,18,160,599,385,5808,33754,46.753246753246756,27.548209366391184,17.746044913195473
Ranui,Henderson-Massey Local Board Area,west,17,127,221,924,10288,20046,18.3982683982684,12.34447900466563,11.024643320363165
Red Beach,Hibiscus and Bays Local Board Area,north,4,65,197,934,12529,43051,4.282655246252677,5.187963923697023,4.575968037908527
Remuera,Ōrākei Local Board Area,central,10,47,311,2289,7161,25368,4.36871996505024,6.563329143974305,12.259539577420371
Riverhead,Rodney Local Board Area,north,2,42,197,916,12635,43051,2.1834061135371177,3.3240997229916895,4.575968037908527
Rosedale,Upper Harbour Local Board Area,north,1,18,197,56,5464,43051,17.857142857142858,3.294289897510981,4.575968037908527
Rothesay Bay,Hibiscus and Bays Local Board Area,north,2,65,197,323,12529,43051,6.191950464396285,5.187963923697023,4.575968037908527
Royal Oak,Maungakiekie-Tāmaki Local Board Area,central,1,113,311,262,5484,25368,3.8167938931297707,20.60539752005835,12.259539577420371
Sandringham,Albert-Eden Local Board Area,central,5,71,311,610,6233,25368,8.196721311475411,11.390983475052142,12.259539577420371
Schnapper Rock,Upper Harbour Local Board Area,north,1,18,197,302,5464,43051,3.3112582781456954,3.294289897510981,4.575968037908527
Shelly Beach,Rodney Local Board Area,north,1,42,197,64,12635,43051,15.625,3.3240997229916895,4.575968037908527
Silverdale,Hibiscus and Bays Local Board Area,north,5,65,197,1054,12529,43051,4.743833017077798,5.187963923697023,4.575968037908527
Snells Beach,Rodney Local Board Area,north,2,42,197,508,12635,43051,3.937007874015748,3.3240997229916895,4.575968037908527
St Heliers,Ōrākei Local Board Area,central,3,47,311,966,7161,25368,3.105590062111801,6.563329143974305,12.259539577420371
St Johns,Ōrākei Local Board Area,central,4,47,311,343,7161,25368,11.661807580174926,6.563329143974305,12.259539577420371
St Lukes,Albert-Eden Local Board Area,central,1,71,311,102,6233,25368,9.803921568627452,11.390983475052142,12.259539577420371
Stanley Point,Devonport-Takapuna Local Board Area,north,1,21,197,220,4592,43051,4.545454545454545,4.573170731707317,4.575968037908527
Stanmore Bay,Hibiscus and Bays Local Board Area,north,4,65,197,1329,12529,43051,3.0097817908201656,5.187963923697023,4.575968037908527
Stonefields,Maungakiekie-Tāmaki Local Board Area,central,1,113,311,294,5484,25368,3.401360544217687,20.60539752005835,12.259539577420371
Sunnynook,Devonport-Takapuna Local Board Area,north,4,21,197,268,4592,43051,14.925373134328359,4.573170731707317,4.575968037908527
Sunnyvale,Henderson-Massey Local Board Area,west,4,127,221,383,10288,20046,10.443864229765014,12.34447900466563,11.024643320363165
Swanson,Waitākere Ranges Local Board Area,west,3,50,221,662,6064,20046,4.531722054380665,8.24538258575198,11.024643320363165
Takanini,Papakura Local Board Area,south,17,114,599,698,5967,33754,24.355300859598852,19.105077928607344,17.746044913195473
Takapuna,Devonport-Takapuna Local Board Area,north,7,21,197,458,4592,43051,15.283842794759824,4.573170731707317,4.575968037908527
Taupaki,Rodney Local Board Area,north,1,42,197,354,12635,43051,2.824858757062147,3.3240997229916895,4.575968037908527
Te Atatu Peninsula,Henderson-Massey Local Board Area,west,7,127,221,1242,10288,20046,5.636070853462158,12.34447900466563,11.024643320363165
Te Atatu South,Henderson-Massey Local Board Area,west,8,127,221,1010,10288,20046,7.920792079207921,12.34447900466563,11.024643320363165
The Gardens,Manurewa Local Board Area,south,7,160,599,309,5808,33754,22.653721682847898,27.548209366391184,17.746044913195473
Three Kings,Puketāpapa Local Board Area,central,13,46,311,396,2180,25368,32.82828282828283,21.100917431192663,12.259539577420371
Titirangi,Waitākere Ranges Local Board Area,west,11,50,221,1823,6064,20046,6.034009873834339,8.24538258575198,11.024643320363165
Torbay,Hibiscus and Bays Local Board Area,north,14,65,197,1444,12529,43051,9.69529085872576,5.187963923697023,4.575968037908527
Totara Heights,Manurewa Local Board Area,south,2,160,599,167,5808,33754,11.976047904191617,27.548209366391184,17.746044913195473
Totara Vale,Kaipātiki Local Board Area,north,5,45,197,346,6275,43051,14.45086705202312,7.171314741035856,4.575968037908527
Wai O Taiki Bay,Maungakiekie-Tāmaki Local Board Area,central,1,113,311,162,5484,25368,6.172839506172839,20.60539752005835,12.259539577420371
Waiake,Maungakiekie-Tāmaki Local Board Area,central,1,113,311,169,5484,25368,5.9171597633136095,20.60539752005835,12.259539577420371
Waiatarua,Waitākere Ranges Local Board Area,west,2,50,221,193,6064,20046,10.362694300518134,8.24538258575198,11.024643320363165
Waiheke Island,Waiheke Local Board Area,north,6,6,197,1200,1207,43051,5,4.971002485501243,4.575968037908527
Waimauku,Rodney Local Board Area,north,1,42,197,300,12635,43051,3.3333333333333335,3.3240997229916895,4.575968037908527
Wairau Valley,Hibiscus and Bays Local Board Area,north,3,65,197,18,12529,43051,166.66666666666666,5.187963923697023,4.575968037908527
Waitakere,Waitākere Ranges Local Board Area,west,1,50,221,402,6064,20046,2.487562189054726,8.24538258575198,11.024643320363165
Waitoki,Rodney Local Board Area,north,2,42,197,192,12635,43051,10.416666666666666,3.3240997229916895,4.575968037908527
Waiuku,Franklin Local Board Area,south,11,67,599,2065,11978,33754,5.326876513317191,5.593588245116046,17.746044913195473
Warkworth,Rodney Local Board Area,north,2,42,197,775,12635,43051,2.5806451612903225,3.3240997229916895,4.575968037908527
Waterview,Albert-Eden Local Board Area,central,4,71,311,282,6233,25368,14.184397163120567,11.390983475052142,12.259539577420371
Wattle Downs,Manurewa Local Board Area,south,3,160,599,527,5808,33754,5.692599620493358,27.548209366391184,17.746044913195473
Wellsford,Rodney Local Board Area,north,3,42,197,278,12635,43051,10.79136690647482,3.3240997229916895,4.575968037908527
West Harbour,Henderson-Massey Local Board Area,west,6,127,221,817,10288,20046,7.343941248470013,12.34447900466563,11.024643320363165
Westgate,Henderson-Massey Local Board Area,west,1,127,221,84,10288,20046,11.904761904761903,12.34447900466563,11.024643320363165
Westmere,Waitematā Local Board Area,central,4,34,311,477,4310,25368,8.385744234800839,7.888631090487239,12.259539577420371
Weymouth,Manurewa Local Board Area,south,15,160,599,533,5808,33754,28.142589118198874,27.548209366391184,17.746044913195473
Whangateau,Rodney Local Board Area,north,1,42,197,36,12635,43051,27.777777777777775,3.3240997229916895,4.575968037908527
Whenuapai,Upper Harbour Local Board Area,north,4,18,197,612,5464,43051,6.5359477124183005,3.294289897510981,4.575968037908527
Whitford,Franklin Local Board Area,south,2,67,599,484,11978,33754,4.132231404958678,5.593588245116046,17.746044913195473
Windsor Park,Upper Harbour Local Board Area,north,1,18,197,104,5464,43051,9.615384615384617,3.294289897510981,4.575968037908527
