financial_year,category,subcategory,measure,value
2019,classification,menacing,33C,3753
2019,classification,dangerous,conviction,12
2019,classification,dangerous,evidence,14
2019,classification,dangerous,admission,3
2019,response,priority-1,total,13664
2019,response,priority-2,total,21344
2019,response,type,roaming-dog,8112
2019,response,type,barking-howling,6811
2019,response,type,pick-up-contained-dog,5507
2019,response,type,aggressive-people,1276
2019,response,type,attack-animals,980
2019,response,type,attack-people,716
2019,response,type,bylaw-breach,1495
2019,response,type,aggressive-animals,369
2019,response,type,welfare,228
2019,response,type,police-spca,60
2019,response,type,relinquish-dog,78
2019,response,type,property-inspection,664
2019,response,type,misc,99
2019,response,type,unregistered-dog,5357
2019,enforcement,prosecution-appeal,total,220
2019,enforcement,nuisance-abatement-notice,issued,
2019,enforcement,nuisance-abatement-notice,properties,
2019,classification,shelters,menacing-s33a,
2019,classification,shelters,menacing-s33c,
2019,classification,shelters,dangerous-s31,
2019,infringements,offence,total,5172
2019,shelters,impound,total,6833
2019,shelters,claimed-returned,total,4624
2019,shelters,euthanised,total,1673
2019,shelters,adopted-rescued,total,536
2018,ownership,owners,total,91305
2018,ownership,owners,probationary,21
2018,ownership,owners,disqualified,1
2018,registrations,dogs,rdol,26628
2018,registrations,dogs,known,110012
2018,registrations,dogs,desexed,
2018,registrations,dogs,registered,102954
2018,classification,menacing,33A,561
2018,classification,menacing,33C,3707
2018,classification,dangerous,conviction,9
2018,classification,dangerous,evidence,15
2018,classification,dangerous,admission,5
2018,response,priority-1,total,13622
2018,response,priority-2,total,20205
2018,response,type,roaming-dog,8843
2018,response,type,barking-howling,7149
2018,response,type,pick-up-contained-dog,6070
2018,response,type,aggressive-people,1417
2018,response,type,attack-animals,1014
2018,response,type,attack-people,745
2018,response,type,bylaw-breach,714
2018,response,type,aggressive-animals,313
2018,response,type,welfare,281
2018,response,type,police-spca,86
2018,response,type,relinquish-dog,109
2018,response,type,property-inspection,665
2018,response,type,misc,335
2018,response,type,unregistered-dog,3145
2018,enforcement,prosecution-appeal,total,237
2018,enforcement,nuisance-abatement-notice,issued,
2018,enforcement,nuisance-abatement-notice,properties,
2018,classification,shelters,menacing-s33a,
2018,classification,shelters,menacing-s33c,
2018,classification,shelters,dangerous-s31,
2018,infringements,offence,total,5817
2018,shelters,impound,total,7457
2018,shelters,claimed-returned,total,4492
2018,shelters,euthanised,total,2135
2018,shelters,adopted-rescued,total,479
2017,ownership,owners,total,
2017,ownership,owners,probationary,26
2017,ownership,owners,disqualified,9
2017,registrations,dogs,rdol,24100
2017,registrations,dogs,known,115544
2017,registrations,dogs,desexed,
2017,registrations,dogs,registered,96699
2017,classification,menacing,33A,630
2017,classification,menacing,33C,3565
2017,classification,dangerous,conviction,14
2017,classification,dangerous,evidence,16
2017,classification,dangerous,admission,6
2017,response,priority-1,total,14787
2017,response,priority-2,total,22912
2017,response,type,roaming-dog,10578
2017,response,type,barking-howling,8307
2017,response,type,pick-up-contained-dog,6959
2017,response,type,aggressive-people,1053
2017,response,type,attack-animals,1059
2017,response,type,attack-people,816
2017,response,type,bylaw-breach,795
2017,response,type,aggressive-animals,288
2017,response,type,welfare,533
2017,response,type,police-spca,128
2017,response,type,relinquish-dog,130
2017,response,type,property-inspection,885
2017,response,type,misc,1204
