suburb,local_board,region,metric,count,known_suburb,known_board,known_region,p_suburb,p_board,p_region
Army Bay,Hibiscus and Bays Local Board Area,north,current_reg,159,164,12529,43051,0.9695121951219512,0.9426929523505467,0.9315695338087385
Army Bay,Hibiscus and Bays Local Board Area,north,owner_reg,69,164,12529,43051,0.42073170731707316,0.37975895921462205,0.36059557269285264
Auckland Airport,Māngere-Ōtāhuhu Local Board Area,south,animal_desexed,4,17,4809,33754,0.23529411764705882,0.45830734040341026,0.560407655388991
Auckland Airport,Māngere-Ōtāhuhu Local Board Area,south,classification,0,17,4809,33754,0,0.1933873986275733,0.10665402618948866
Auckland Airport,Māngere-Ōtāhuhu Local Board Area,south,current_reg,17,17,4809,33754,1,0.769182782283219,0.8430111986727499
Auckland Airport,Māngere-Ōtāhuhu Local Board Area,south,owner_reg,0,17,4809,33754,0,0.15263048450821376,0.29629080997807666
Auckland Central,Waitematā Local Board Area,central,animal_desexed,265,408,4310,25368,0.6495098039215687,0.6849187935034803,0.6542100283822138
Auckland Central,Waitematā Local Board Area,central,classification,3,408,4310,25368,0.007352941176470588,0.013689095127610209,0.03717281614632608
Auckland Central,Waitematā Local Board Area,central,current_reg,366,408,4310,25368,0.8970588235294118,0.9310904872389791,0.9155234941658783
Auckland Central,Waitematā Local Board Area,central,owner_reg,91,408,4310,25368,0.22303921568627452,0.23642691415313224,0.2651371807000946
Avondale,Whau Local Board Area,west,animal_desexed,719,1195,3694,20046,0.601673640167364,0.6448294531672983,0.6577870896937045
Avondale,Whau Local Board Area,west,classification,92,1195,3694,20046,0.07698744769874477,0.06442880346507851,0.05711862715753766
Avondale,Whau Local Board Area,west,current_reg,1047,1195,3694,20046,0.8761506276150628,0.8752030319436924,0.8856629751571385
Avondale,Whau Local Board Area,west,owner_reg,306,1195,3694,20046,0.2560669456066946,0.2698971304818625,0.305846552928265
Baddeleys Beach,Rodney Local Board Area,north,animal_desexed,9,10,12635,43051,0.9,0.6839730906212901,0.7100648068569836
Baddeleys Beach,Rodney Local Board Area,north,classification,1,10,12635,43051,0.1,0.015116739216462208,0.016979861094980373
Baddeleys Beach,Rodney Local Board Area,north,current_reg,9,10,12635,43051,0.9,0.9270280965571824,0.9315695338087385
Baddeleys Beach,Rodney Local Board Area,north,owner_reg,3,10,12635,43051,0.3,0.39746735259200633,0.36059557269285264
Balmoral,Albert-Eden Local Board Area,central,animal_desexed,202,286,6233,25368,0.7062937062937062,0.673672388897802,0.6542100283822138
Balmoral,Albert-Eden Local Board Area,central,classification,6,286,6233,25368,0.02097902097902098,0.027274185785336115,0.03717281614632608
Balmoral,Albert-Eden Local Board Area,central,current_reg,271,286,6233,25368,0.9475524475524476,0.9359858815979464,0.9155234941658783
Balmoral,Albert-Eden Local Board Area,central,owner_reg,79,286,6233,25368,0.2762237762237762,0.2826889138456602,0.2651371807000946
Bayswater,Devonport-Takapuna Local Board Area,north,animal_desexed,211,302,4592,43051,0.6986754966887417,0.7253919860627178,0.7100648068569836
Bayswater,Devonport-Takapuna Local Board Area,north,classification,8,302,4592,43051,0.026490066225165563,0.01524390243902439,0.016979861094980373
Bayswater,Devonport-Takapuna Local Board Area,north,current_reg,279,302,4592,43051,0.9238410596026491,0.9368466898954704,0.9315695338087385
Bayswater,Devonport-Takapuna Local Board Area,north,owner_reg,73,302,4592,43051,0.24172185430463577,0.28702090592334495,0.36059557269285264
Bayview,Kaipātiki Local Board Area,north,animal_desexed,399,535,6275,43051,0.7457943925233644,0.7018326693227092,0.7100648068569836
Bayview,Kaipātiki Local Board Area,north,classification,19,535,6275,43051,0.03551401869158879,0.025816733067729084,0.016979861094980373
Bayview,Kaipātiki Local Board Area,north,current_reg,493,535,6275,43051,0.9214953271028037,0.9164940239043825,0.9315695338087385
Bayview,Kaipātiki Local Board Area,north,owner_reg,198,535,6275,43051,0.37009345794392523,0.3244621513944223,0.36059557269285264
Beach Haven,Kaipātiki Local Board Area,north,animal_desexed,778,1071,6275,43051,0.7264239028944911,0.7018326693227092,0.7100648068569836
Beach Haven,Kaipātiki Local Board Area,north,classification,36,1071,6275,43051,0.03361344537815126,0.025816733067729084,0.016979861094980373
Beach Haven,Kaipātiki Local Board Area,north,current_reg,970,1071,6275,43051,0.9056956115779645,0.9164940239043825,0.9315695338087385
Beach Haven,Kaipātiki Local Board Area,north,owner_reg,341,1071,6275,43051,0.3183940242763772,0.3244621513944223,0.36059557269285264
Beachlands,Franklin Local Board Area,south,animal_desexed,867,1150,11978,33754,0.7539130434782608,0.6668058106528636,0.560407655388991
Beachlands,Franklin Local Board Area,south,classification,15,1150,11978,33754,0.013043478260869565,0.03414593421272333,0.10665402618948866
Beachlands,Franklin Local Board Area,south,current_reg,1102,1150,11978,33754,0.9582608695652174,0.9143429620971781,0.8430111986727499
Beachlands,Franklin Local Board Area,south,owner_reg,488,1150,11978,33754,0.42434782608695654,0.4029888128235098,0.29629080997807666
Belmont,Devonport-Takapuna Local Board Area,north,animal_desexed,230,323,4592,43051,0.7120743034055728,0.7253919860627178,0.7100648068569836
Belmont,Devonport-Takapuna Local Board Area,north,classification,8,323,4592,43051,0.02476780185758514,0.01524390243902439,0.016979861094980373
Belmont,Devonport-Takapuna Local Board Area,north,current_reg,305,323,4592,43051,0.9442724458204335,0.9368466898954704,0.9315695338087385
Belmont,Devonport-Takapuna Local Board Area,north,owner_reg,92,323,4592,43051,0.2848297213622291,0.28702090592334495,0.36059557269285264
Bethells,Waitākere Ranges Local Board Area,west,animal_desexed,112,148,6064,20046,0.7567567567567568,0.7204815303430079,0.6577870896937045
Bethells,Waitākere Ranges Local Board Area,west,classification,2,148,6064,20046,0.013513513513513514,0.033641160949868076,0.05711862715753766
Bethells,Waitākere Ranges Local Board Area,west,current_reg,131,148,6064,20046,0.8851351351351351,0.9200197889182058,0.8856629751571385
Bethells,Waitākere Ranges Local Board Area,west,owner_reg,60,148,6064,20046,0.40540540540540543,0.34465699208443273,0.305846552928265
Big Omaha,Rodney Local Board Area,north,animal_desexed,31,43,12635,43051,0.7209302325581395,0.6839730906212901,0.7100648068569836
